iis_status,status_description
100.0,Continue
101.0,Switching protocols
200.0,OK. The client request has succeeded
201.0,Created
202.0,Accepted
203.0,Nonauthoritative information
204.0,No content
205.0,Reset content
206.0,Partial content
301.0,Moved permanently
302.0,Object moved
304.0,Not modified
307.0,Temporary redirect
400.0,Bad request
400.1,Invalid Destination Header
400.2,Invalid Depth Header
400.3,Invalid If Header
400.4,Invalid Overwrite Header
400.5,Invalid Translate Header
400.6,Invalid Request Body
400.7,Invalid Content Length
400.8,Invalid Timeout
400.9,Invalid Lock Token
400.10,Invalid XFF header
400.11,Invalid WebSocket request
400.601,Bad client request (ARR)
400.602,Invalid time format (ARR)
400.603,Parse range error (ARR)
400.604,Client gone (ARR)
400.605,Maximum number of forwards (ARR)
400.606,Asynchronous competition error (ARR)
401.0,Access denied
401.1,Logon failed
401.2,Logon failed due to server configuration
401.3,Unauthorized due to ACL on resource
401.4,Authorization failed by filter
401.5,Authorization failed by ISAPI/CGI application
401.501,Access Denied: Too many requests from the same client IP; Dynamic IP Restriction Concurrent request rate limit reached
401.502,Forbidden: Too many requests from the same client IP; Dynamic IP Restriction Maximum request rate limit reached
401.503,Access Denied: the IP address is included in the Deny list of IP Restriction
401.504,Access Denied: the host name is included in the Deny list of IP Restriction
403.0,Forbidden
403.1,Execute access forbidden
403.2,Read access forbidden
403.3,Write access forbidden
403.4,SSL required
403.5,SSL 128 required
403.6,IP address rejected
403.7,Client certificate required
403.8,Site access denied
403.9,Forbidden: Too many clients are trying to connect to the web server
403.10,Forbidden: web server is configured to deny Execute access
403.11,Forbidden: Password has been changed
403.12,Mapper denied access
403.13,Client certificate revoked
403.14,Directory listing denied
403.15,Forbidden: Client access licenses have exceeded limits on the web server
403.16,Client certificate is untrusted or invalid
403.17,Client certificate has expired or is not yet valid
403.18,Cannot execute requested URL in the current application pool
403.19,Cannot execute CGI applications for the client in this application pool
403.20,Forbidden: Passport logon failed
403.21,Forbidden: Source access denied
403.22,Forbidden: Infinite depth is denied
403.501,Forbidden: Too many requests from the same client IP; Dynamic IP Restriction Concurrent request rate limit reached
403.502,Forbidden: Too many requests from the same client IP; Dynamic IP Restriction Maximum request rate limit reached
403.503,Forbidden: the IP address is included in the Deny list of IP Restriction
403.504,Forbidden: the host name is included in the Deny list of IP Restriction
404.0,Not found
404.1,Site Not Found
404.2,ISAPI or CGI restriction
404.3,MIME type restriction
404.4,No handler configured
404.5,Denied by request filtering configuration
404.6,Verb denied
404.7,File extension denied
404.8,Hidden namespace
404.9,File attribute hidden
404.10,Request header too long
404.11,Request contains double escape sequence
404.12,Request contains high-bit characters
404.13,Content length too large
404.14,Request URL too long
404.15,Query string too long
404.16,DAV request sent to the static file handler
404.17,Dynamic content mapped to the static file handler via a wildcard MIME mapping
404.18,Querystring sequence denied
404.19,Denied by filtering rule
404.20,Too Many URL Segments
404.501,Not Found: Too many requests from the same client IP; Dynamic IP Restriction Concurrent request rate limit reached
404.502,Not Found: Too many requests from the same client IP; Dynamic IP Restriction Maximum request rate limit reached
404.503,Not Found: the IP address is included in the Deny list of IP Restriction
404.504,Not Found: the host name is included in the Deny list of IP Restriction
405.0,Method Not Allowed
406.0,Client browser does not accept the MIME type of the requested page
408.0,Request timed out
412.0,Precondition failed
500.0,Module or ISAPI error occurred
500.11,Application is shutting down on the web server
500.12,Application is busy restarting on the web server
500.13,Web server is too busy
500.15,Direct requests for Global.asax are not allowed
500.19,Configuration data is invalid
500.21,Module not recognized
500.22,An ASP.NET httpModules configuration does not apply in Managed Pipeline mode
500.23,An ASP.NET httpHandlers configuration does not apply in Managed Pipeline mode
500.24,An ASP.NET impersonation configuration does not apply in Managed Pipeline mode
500.50,A rewrite error occurred during RQ_BEGIN_REQUEST notification handling
500.51,A rewrite error occurred during GL_PRE_BEGIN_REQUEST notification handling
500.52,A rewrite error occurred during RQ_SEND_RESPONSE notification handling
500.53,A rewrite error occurred during RQ_RELEASE_REQUEST_STATE notification handling
500.100,Internal ASP error
501.0,Header values specify a configuration that is not implemented
502.0,Web server received an invalid response while acting as a gateway or proxy
502.1,CGI application timeout
502.2,Map request failure (ARR)
502.3,WinHTTP asynchronous completion failure (ARR)
502.4,No server (ARR)
502.5,WebSocket failure (ARR)
502.6,Forwarded request failure (ARR)
502.7,Execute request failure (ARR)
503.0,Application pool unavailable
503.2,Concurrent request limit exceeded
503.3,ASP.NET queue full
503.4,FastCGI queue full